Gene_Name,logFC,PValue
DPY19L1,0.12607512,5.88E-01
TMC7,0.10561192,5.88E-01
TMEM75,-0.05921886,5.88E-01
PRSS54,0.05054368,5.88E-01
KRT75,0.02967088,5.88E-01
TPSAB1 /// TPSB2,0.05517037,5.88E-01
PKD2L2,0.04344712,5.88E-01
THRA,-0.15663754,5.88E-01
ACTR10,-0.05111164,5.88E-01
PUF60,0.07365401,5.88E-01
HPCAL4,-0.04906304,5.88E-01
HKDC1,0.15721958,5.88E-01
GRAMD3,-0.14203452,5.88E-01
TRPM1,0.04496351,5.88E-01
MS4A14,0.04953745,5.88E-01
TECTB,0.04397368,5.88E-01
SLC10A7,-0.08108098,5.88E-01
TRAPPC10,0.08274407,5.88E-01
RYBP,-0.05831653,5.88E-01
SREBF2,-0.15221538,5.88E-01
ABCB8,0.05279079,5.88E-01
CTAGE4 /// CTAGE6 /// CTAGE8 /// CTAGE9 /// LOC441294,0.19568119,5.88E-01
SAT1,0.15231807,5.88E-01
CHIT1,-0.35534239,5.88E-01
C1orf89,0.04948975,5.88E-01
SYS1,-0.08012589,5.88E-01
HEATR1,-0.08801427,5.88E-01
MAP2K6,-0.09945504,5.89E-01
ZFP92,-0.05480719,5.89E-01
FBXO22,0.1251286,5.89E-01
UBXN7,0.0519978,5.89E-01
MESDC2,0.05508973,5.89E-01
DERL3,0.08031082,5.89E-01
SAR1B,0.09341426,5.89E-01
FXYD3,0.04837795,5.89E-01
---,-0.04414235,5.89E-01
EIF4G3,0.04755039,5.89E-01
TUBGCP5,-0.06500531,5.89E-01
COL6A2,0.05908522,5.89E-01
EXOC3L,0.04969511,5.89E-01
OR13C8,0.03436531,5.89E-01
C1orf56,-0.07389755,5.89E-01
METT10D,0.05832503,5.89E-01
RAB41,0.03550885,5.89E-01
C5orf43,0.04442681,5.89E-01
EIF2AK2,-0.09162838,5.89E-01
AKR7A3,-0.05903429,5.89E-01
KIAA0174,0.03680986,5.89E-01
MGC5590,0.04201918,5.89E-01
KIAA0146,0.07641785,5.89E-01
UBASH3B,0.05011232,5.89E-01
NMNAT1,0.09981733,5.89E-01
COX4I1,0.03514408,5.89E-01
RAB3B,0.07004129,5.89E-01
ALG8,0.07236703,5.89E-01
CLCNKA,0.06704976,5.89E-01
MPPE1,-0.06150973,5.90E-01
RBM34,0.07017237,5.90E-01
ARL6IP4,0.04146901,5.90E-01
CXADR,0.03875674,5.90E-01
SFRS13A,0.15081362,5.90E-01
BYSL,-0.05038012,5.90E-01
NOL8,-0.06443306,5.90E-01
---,0.04291566,5.90E-01
NOC3L,-0.09447701,5.90E-01
CCDC147,-0.03636178,5.90E-01
CORIN,-0.05472486,5.90E-01
PDIA4,-0.13328159,5.90E-01
MATR3,0.0453196,5.90E-01
PON1,0.04519792,5.90E-01
CD59,-0.04669305,5.90E-01
ADAM9,0.10587104,5.90E-01
RPL17,0.03792473,5.90E-01
RAB18,0.03777457,5.90E-01
PGAM5,0.06602517,5.90E-01
TMF1,-0.09322658,5.90E-01
SMARCA1,-0.09201969,5.90E-01
ZNF275,0.05544769,5.90E-01
ELMOD1,0.04311329,5.90E-01
DCAF17,0.02828882,5.90E-01
KRTAP12-2,-0.04789125,5.90E-01
KIAA1279,0.076742,5.90E-01
LOC100287685,0.0471037,5.90E-01
LOC100287837,0.05068498,5.90E-01
C1orf101,-0.05116168,5.90E-01
GLUD2,0.07484899,5.90E-01
GPR149,-0.04035411,5.90E-01
PTPRF,-0.20005182,5.90E-01
MUSK,0.04233067,5.90E-01
RANBP2,-0.05277686,5.90E-01
OR2AG1,0.05310851,5.91E-01
FGL2,0.1732729,5.91E-01
DHRS13,0.13129834,5.91E-01
---,0.03450533,5.91E-01
MMP19,-0.04779862,5.91E-01
RHBDD1,0.09702258,5.91E-01
AMH,-0.06785758,5.91E-01
ARFGAP2,-0.05543419,5.91E-01
TTC28,0.07527194,5.91E-01
CLTA,-0.05142474,5.91E-01
MMRN1,0.04000324,5.91E-01
ACSM2A /// ACSM2B /// LOC100291873,-0.04004376,5.91E-01
GDF2,0.04173671,5.91E-01
OR51B5,0.04721131,5.91E-01
RPS17,-0.04055758,5.91E-01
TYW3,0.07447508,5.91E-01
CDH1,0.33323814,5.91E-01
USP29,-0.04715421,5.91E-01
CDKN2AIPNL,0.05792737,5.91E-01
CCR4,-0.03717284,5.91E-01
DBNDD1,-0.07393392,5.91E-01
FOXRED1,-0.05244719,5.91E-01
PMEPA1,0.17264302,5.91E-01
CELA2B,-0.04670247,5.91E-01
SLC25A6,-0.08594408,5.91E-01
ABCE1,-0.06325691,5.91E-01
TIA1,0.09705175,5.91E-01
LEAP2,0.05012571,5.91E-01
PAGE3,-0.04424891,5.92E-01
SOCS7,0.05714013,5.92E-01
ADAP1 /// COX19,-0.0576207,5.92E-01
UBE2F,0.08630699,5.92E-01
PPIP5K2,0.06692216,5.92E-01
AMMECR1L,0.0486597,5.92E-01
BAG4,0.09116193,5.92E-01
TIPIN,-0.04692834,5.92E-01
ATP8B1,0.19693578,5.92E-01
KIR3DX1,-0.04766172,5.92E-01
BBX,0.07940655,5.92E-01
NAA10,-0.04810964,5.92E-01
TEC,-0.03902928,5.92E-01
RTKN2,-0.04803836,5.92E-01
NIPBL,0.059927,5.92E-01
DDTL,-0.07084056,5.92E-01
KLHL30,0.07071461,5.92E-01
G3BP1,-0.10670993,5.92E-01
CHRNA2,-0.03355397,5.92E-01
PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5,-0.07329208,5.92E-01
GPC3,0.29374307,5.92E-01
LOC646851,0.03951311,5.92E-01
LASP1,-0.04664845,5.92E-01
TMPRSS11D,-0.03379649,5.92E-01
IFNAR2,-0.08076559,5.92E-01
CEACAM19,0.05869001,5.92E-01
FANCD2,0.03929739,5.92E-01
C2orf72,-0.08539427,5.92E-01
SEBOX /// VTN,0.03784959,5.92E-01
RPS5,0.0650921,5.93E-01
TBX5,0.05371567,5.93E-01
ZNF283,0.04044895,5.93E-01
PACSIN3,-0.19570212,5.93E-01
OR8A1,-0.03775029,5.93E-01
FCGRT,-0.09221468,5.93E-01
GABBR1,0.13239057,5.93E-01
MNT,0.07946657,5.93E-01
WDR3,-0.03806838,5.93E-01
LAMB4,0.05957331,5.93E-01
SLC19A1,-0.06605911,5.93E-01
PCOLCE2,0.29513396,5.93E-01
CSNK1G3,-0.10732612,5.93E-01
CARD18,-0.0456371,5.93E-01
RHOBTB2,0.05544965,5.93E-01
CYP8B1,-0.04030978,5.93E-01
EPN1,-0.05261919,5.93E-01
PLEKHA8 /// PLEKHA9,0.04312483,5.93E-01
DBX1,0.02835632,5.93E-01
CCR6,0.04263987,5.93E-01
PRAMEF2,0.03747793,5.93E-01
HTR3C,0.03720022,5.93E-01
RAP1GAP2,0.04097601,5.93E-01
TMEM154,-0.14337285,5.93E-01
BRMS1,0.0846269,5.93E-01
ZNF114,-0.03596648,5.93E-01
ZNF257,0.03760879,5.93E-01
AMACR /// C1QTNF3,-0.06531826,5.93E-01
IGH@ /// IGHA2 /// LOC100126583,0.20807682,5.93E-01
CD101,0.0460155,5.93E-01
KLK2,0.04190159,5.93E-01
ZNF800,-0.11469729,5.93E-01
MAP3K7,-0.06015772,5.93E-01
CMKLR1,-0.17433341,5.93E-01
AKNAD1,0.03694085,5.93E-01
MMP16,-0.04513632,5.93E-01
SPINT1,0.04881096,5.93E-01
HNRNPD,-0.06112159,5.94E-01
ITGBL1,-0.27170842,5.94E-01
ZNF815,0.03226658,5.94E-01
C12orf48,0.05015461,5.94E-01
MATR3,0.06714501,5.94E-01
UBE2G2,-0.09464821,5.94E-01
ABCB9,-0.04068014,5.94E-01
CNP,-0.15004423,5.94E-01
NXPH1,-0.04718754,5.94E-01
ZNF383,-0.05839304,5.94E-01
GLT1D1,-0.04969789,5.94E-01
PHF1,0.08060034,5.94E-01
RPS12 /// SNORA33,0.04209445,5.94E-01
ZNF117,-0.05001587,5.94E-01
CDHR3,0.04714243,5.94E-01
C12orf61,0.06569886,5.94E-01
SCAMP1,-0.09869524,5.94E-01
DCHS1,0.09146719,5.94E-01
C18orf34,0.04229572,5.94E-01
GNA13,0.07553261,5.94E-01
TMEM9,0.06301307,5.94E-01
GRK6,0.13937421,5.94E-01
LOC348021,0.04658437,5.95E-01
KCNAB2,-0.04735631,5.95E-01
CNNM4,0.09056313,5.95E-01
GLYATL1,0.03908214,5.95E-01
ADAMTS9,-0.27279834,5.95E-01
UBE2J2,-0.05216001,5.95E-01
GPR116,-0.16095224,5.95E-01
IQSEC2,-0.09555086,5.95E-01
ZNF606,-0.11690287,5.95E-01
SURF2,-0.06324696,5.95E-01
THRA,-0.16998003,5.95E-01
HSDL2,-0.07964117,5.95E-01
C10orf53,-0.03931259,5.95E-01
MCM8,0.06786978,5.95E-01
FCRL5,0.02980138,5.95E-01
SLC5A8,-0.10758504,5.95E-01
SLC12A6,-0.07448329,5.95E-01
CAPSL,0.03825659,5.95E-01
C4orf21,0.02894639,5.95E-01
KCNJ10,0.28975995,5.95E-01
ABHD12,-0.06731531,5.95E-01
GPR63,-0.02952111,5.95E-01
RPS5,0.06498724,5.95E-01
PPEF2,0.03858473,5.95E-01
ZNF14,-0.04051061,5.95E-01
SHBG,0.03471955,5.95E-01
FPR2,0.10940749,5.95E-01
CCDC109B,-0.10213046,5.95E-01
WIPI2,0.06942709,5.95E-01
GFRA1,-0.32208416,5.95E-01
GCKR,-0.04051059,5.96E-01
TOP2B,-0.06110062,5.96E-01
PROM2,-0.0587617,5.96E-01
B4GALNT3,0.05897894,5.96E-01
LRRC15,0.05037755,5.96E-01
PIAS4,-0.12253368,5.96E-01
LOC399491 /// NPIP,0.08220996,5.96E-01
ZDHHC11,-0.22454302,5.96E-01
ABCE1,-0.06419394,5.96E-01
LCA5L,0.04797992,5.96E-01
OR2T6,-0.03539787,5.96E-01
PLEKHB2,0.04623282,5.96E-01
DNM3,-0.16898122,5.96E-01
ALAS1,-0.09861454,5.96E-01
ACPP,0.06669783,5.96E-01
LZTS1,0.16157064,5.96E-01
DEFB112,0.04390298,5.96E-01
BTBD2,-0.05506654,5.96E-01
CNGB1,0.03650232,5.96E-01
NAPA,0.05465224,5.96E-01
RIMS2,0.03797638,5.96E-01
ZNF252,0.04527524,5.96E-01
PCDH9,-0.34198245,5.96E-01
DIAPH1,0.07286768,5.96E-01
SNORA16B,0.04973118,5.96E-01
VMA21,0.0475031,5.96E-01
HLX,0.16351756,5.96E-01
HS2ST1,0.06959146,5.96E-01
CD164,-0.08831584,5.97E-01
BBS4,-0.06568822,5.97E-01
RHOA,0.05512063,5.97E-01
UCP2,-0.1926494,5.97E-01
SLC18A3,-0.06638284,5.97E-01
PNRC2,0.03917167,5.97E-01
STOML3,0.03237708,5.97E-01
HIVEP3,0.13082491,5.97E-01
NR0B1,-0.03539107,5.97E-01
ADRM1,0.06344198,5.97E-01
REV3L,0.07947546,5.97E-01
PCMTD2,-0.04706355,5.97E-01
MAGEB1,0.04468105,5.97E-01
ZIM3,0.04104932,5.97E-01
UBE2L3,-0.07259882,5.97E-01
CYSLTR2,0.05203087,5.97E-01
SMG6,-0.05296207,5.97E-01
UBQLN2,-0.06231043,5.97E-01
PCDHB2,0.17000155,5.97E-01
HSD17B12,0.06884701,5.97E-01
KRTAP4-4,-0.02890926,5.97E-01
PABPN1L,-0.03650109,5.97E-01
TXNRD1,-0.0556319,5.97E-01
TDRD1,0.04289474,5.98E-01
APOA1,0.18564129,5.98E-01
HRAS,0.07332668,5.98E-01
NUDT16L1,0.05212571,5.98E-01
RAPGEFL1,0.04094092,5.98E-01
TCHP,0.08815452,5.98E-01
FAM153A /// FAM153B /// FAM153C,-0.039207,5.98E-01
SNW1,-0.03492936,5.98E-01
HCN4,0.03794358,5.98E-01
UNC13D,0.07607893,5.98E-01
FBXW11,-0.07319496,5.98E-01
SPP1,-0.2560304,5.98E-01
MYH13,0.03316741,5.98E-01
DEDD,0.05294056,5.98E-01
ATP6V0A1,0.05185124,5.98E-01
NT5C3,0.06757801,5.98E-01
GPAT2,0.05990212,5.98E-01
ARHGEF35 /// ARHGEF5,0.06980664,5.98E-01
TOE1,-0.04325493,5.98E-01
SDCCAG1,0.05272177,5.98E-01
DSC2,-0.14575864,5.98E-01
P2RX1,-0.17902769,5.98E-01
TFEB,-0.0954204,5.98E-01
COL12A1,-0.08646193,5.98E-01
C10orf46,-0.06175773,5.98E-01
FCRL4,0.04151365,5.99E-01
COL14A1,-0.03551771,5.99E-01
FNIP1,-0.04756413,5.99E-01
NFYB,0.09091573,5.99E-01
NUDT16,-0.138397,5.99E-01
MSTO1 /// MSTO2P,0.05272867,5.99E-01
LIMK1,-0.10969883,5.99E-01
FAM55A,-0.03050514,5.99E-01
LOC100133957,0.03001571,5.99E-01
IL29,0.04145262,5.99E-01
RFC3,0.05019418,5.99E-01
SNX13,0.07483391,5.99E-01
TAS2R10,0.03607778,5.99E-01
ARMC4,0.04098961,5.99E-01
OR52E8,0.03541448,5.99E-01
ENPP2,-0.16762096,5.99E-01
MCOLN2,-0.06655372,5.99E-01
ALG14,0.06227868,5.99E-01
LOC283999,0.02997625,5.99E-01
EGFLAM,-0.10634093,5.99E-01
C8orf83,-0.07407951,5.99E-01
AQP5,-0.06070091,5.99E-01
ACADM,0.05647729,5.99E-01
TMEM9,-0.08929268,5.99E-01
PTPLAD1,0.09979145,5.99E-01
LSAMP,0.04762595,5.99E-01
CD6,-0.2365229,6.00E-01
TAC3,0.04790169,6.00E-01
OR10C1,0.03685313,6.00E-01
LOC100291953 /// TTLL11,0.04930762,6.00E-01
SPDYE6,-0.05498452,6.00E-01
PPP2R5E,0.11553409,6.00E-01
C9orf171,0.04314289,6.00E-01
PNPLA2,-0.08320358,6.00E-01
DGKZ,-0.07926824,6.00E-01
OR13H1,-0.03880867,6.00E-01
MTA1,-0.07024605,6.00E-01
C11orf30,-0.05677966,6.00E-01
RHBG,0.06929607,6.00E-01
RCAN3,-0.04803955,6.00E-01
DNAJB2,-0.04174153,6.00E-01
GDF1 /// LASS1,0.20449742,6.00E-01
SDCCAG1,-0.0505883,6.00E-01
SCN8A,-0.03662162,6.00E-01
SLC3A1,0.04276469,6.00E-01
PDE6B,-0.03641044,6.00E-01
FMNL1,-0.04412296,6.00E-01
N6AMT2,-0.08449555,6.00E-01
ZDHHC16,-0.09349229,6.00E-01
EFCAB4B,0.04678712,6.00E-01
OXCT2,0.04553089,6.00E-01
CELF3,0.04744425,6.00E-01
LOC652276,0.07904062,6.00E-01
MBNL3,-0.04981398,6.00E-01
MPZL3,0.04377873,6.00E-01
ENG,-0.13421821,6.00E-01
CCNE1,-0.03716016,6.00E-01
LCE2A,-0.04106817,6.01E-01
MOS,0.03834766,6.01E-01
CTBP1,-0.04187227,6.01E-01
TUBA1C,-0.20634331,6.01E-01
KLK8 /// KLK9,-0.03708933,6.01E-01
H3F3C,-0.0318537,6.01E-01
FIZ1,0.06205279,6.01E-01
PIGL,0.0464663,6.01E-01
GINS4,-0.04962951,6.01E-01
AP1G1,-0.05701502,6.01E-01
IL27RA,-0.14524248,6.01E-01
ZNF586,0.08838428,6.01E-01
ZIC3,-0.07589997,6.01E-01
PRKCQ,-0.18140925,6.01E-01
SFRS8,0.06635197,6.01E-01
C9orf31,0.04138249,6.01E-01
ATHL1,0.09262534,6.01E-01
BDNF,-0.22138289,6.01E-01
PEX14,0.05915699,6.01E-01
HIST2H2AB,-0.04809958,6.01E-01
WBP2,-0.07572076,6.01E-01
ZNF41,-0.06332918,6.01E-01
C3orf56,0.04039187,6.01E-01
PAX4,-0.04344617,6.01E-01
GNS,-0.11055202,6.01E-01
XAGE3,0.03209359,6.01E-01
SLAMF7,-0.21912766,6.01E-01
SLC35B1,0.07709371,6.01E-01
MYO10,0.04709149,6.01E-01
PPIF,-0.06864043,6.01E-01
KCNN4,0.31344355,6.02E-01
CLTC,-0.07923056,6.02E-01
CD7,-0.08059911,6.02E-01
KIAA0922,0.15062484,6.02E-01
SCXA /// SCXB,0.06325114,6.02E-01
SLC37A4,0.12718713,6.02E-01
ABAT,-0.16789494,6.02E-01
ANKRD13A,0.0520556,6.02E-01
DOCK10,-0.1251507,6.02E-01
CASP14,-0.03788908,6.02E-01
SH3BP5,0.11116584,6.02E-01
C14orf104,-0.05417198,6.02E-01
SMCR7,0.07949974,6.02E-01
PRTFDC1,0.05353481,6.02E-01
OR4K1,0.05863978,6.02E-01
GLYATL3,0.04774912,6.02E-01
LOC554174,0.04560007,6.02E-01
SPATA22,-0.04510096,6.02E-01
TRD@,0.16353084,6.02E-01
HS6ST2,0.03382696,6.02E-01
IL1F8,0.03868911,6.02E-01
TTC30A,-0.0413261,6.03E-01
UTRN,-0.07703051,6.03E-01
AP2A1,-0.05028968,6.03E-01
FHL1,-0.25090566,6.03E-01
C16orf13,0.0803855,6.03E-01
GPR152,0.03664192,6.03E-01
TOP2B,-0.07087602,6.03E-01
SLC1A4,-0.08531198,6.03E-01
ANO1,0.28288676,6.03E-01
LONRF1,-0.08669137,6.03E-01
TMTC2,-0.04692862,6.03E-01
MNS1,-0.0964655,6.03E-01
CCDC134,0.04557809,6.03E-01
PCDHGB4,0.0402278,6.03E-01
VSX2,0.03757691,6.03E-01
AP1S3,-0.03623351,6.03E-01
ESCO2,0.03518438,6.03E-01
ALB,0.06485348,6.03E-01
VKORC1L1,0.06417099,6.03E-01
POLL,0.06108463,6.03E-01
NAA40,-0.03834969,6.03E-01
LRP6,-0.13768866,6.03E-01
TMEM178,-0.19406702,6.03E-01
MS4A5,-0.04091101,6.03E-01
UCHL5,-0.06066587,6.03E-01
ZNF253,-0.05617282,6.03E-01
SLC25A36,-0.10252965,6.03E-01
---,-0.03576347,6.03E-01
RRP15,0.06801313,6.03E-01
FERMT1,0.04103428,6.03E-01
EN2,0.05022242,6.04E-01
DOCK1,-0.05341148,6.04E-01
SALL2,-0.07653269,6.04E-01
PPP2R5E,-0.0494307,6.04E-01
MUTYH,0.07144545,6.04E-01
KRT79,0.04302834,6.04E-01
CCDC151,-0.07118474,6.04E-01
UFM1,0.04677685,6.04E-01
EEF1E1,0.0739217,6.04E-01
PIM2,0.10368788,6.04E-01
WASF3,0.03172066,6.04E-01
MS4A6E,0.0675893,6.04E-01
S100A4,0.20307265,6.04E-01
PIAS2,0.06172796,6.04E-01
FAM84B,-0.04341718,6.04E-01
TNN,-0.04064413,6.04E-01
FLYWCH2,-0.06832303,6.04E-01
ST3GAL1,-0.13078486,6.04E-01
SLC44A3,-0.13829107,6.04E-01
TINF2,-0.0400247,6.04E-01
CFTR,0.03623388,6.04E-01
EPS15,0.11519023,6.04E-01
ZNF323,0.12256172,6.04E-01
TMEM56,-0.1724761,6.04E-01
BCL2L14,-0.05457491,6.04E-01
FAM115A,0.06469865,6.04E-01
AFF4,-0.04411255,6.04E-01
ZMYM2,0.06242179,6.04E-01
ENOX1,-0.17732081,6.04E-01
PLA2G2C,0.05311546,6.04E-01
VTCN1,0.03490275,6.04E-01
SYNGAP1,0.03837989,6.04E-01
CST2,0.05382366,6.05E-01
PLEKHA8,0.03916882,6.05E-01
DBC1,0.03662399,6.05E-01
OGT,0.08579099,6.05E-01
MAGEA2 /// MAGEA2B,-0.03597442,6.05E-01
PSMA2,0.05050102,6.05E-01
PNMAL2,0.04265454,6.05E-01
ACTN1,0.04403243,6.05E-01
CAP2,0.1792166,6.05E-01
GLI4 /// ZFP41,-0.04128352,6.05E-01
CPSF1,0.08107862,6.05E-01
ZNF536,-0.3113192,6.05E-01
TRIO,0.04216864,6.05E-01
FABP1 /// PRDM10,0.10292333,6.05E-01
HNRPLL,0.06719273,6.05E-01
RTEL1,-0.06552564,6.05E-01
LOC100287515 /// ZNF26,0.07856619,6.05E-01
FKBP5,-0.27832536,6.05E-01
TNNI3K,0.16390552,6.05E-01
THOC2,-0.08355043,6.05E-01
ZCCHC7,-0.07296149,6.05E-01
GMPPA,0.10672655,6.05E-01
CCR7,-0.20831024,6.06E-01
C3orf70,0.03880285,6.06E-01
NDUFV3,0.03644977,6.06E-01
TMEM194A,-0.04827804,6.06E-01
RPL4,0.09987445,6.06E-01
ZNF346,-0.076929,6.06E-01
DOCK7,-0.06557277,6.06E-01
HNRNPA1 /// HNRPA1L-2,0.06530305,6.06E-01
UQCC,0.05956983,6.06E-01
SCYL2,0.07508796,6.06E-01
AURKA /// AURKAPS1,-0.06736419,6.06E-01
PPP1R9A,0.34259245,6.06E-01
LOC100271836 /// LOC440354 /// LOC595101 /// LOC641298 /// SMG1,0.07078512,6.06E-01
---,0.04484437,6.06E-01
ZNF260,-0.03631066,6.06E-01
UBE2Z,0.05250209,6.06E-01
MCPH1,-0.06579724,6.06E-01
ZNF343,0.04929834,6.06E-01
REV1,0.07094181,6.06E-01
TDRD3,-0.11396492,6.07E-01
COMMD9,-0.04193286,6.07E-01
MRGPRX1,0.04273677,6.07E-01
MINPP1,0.05682211,6.07E-01
TAF11,-0.06119072,6.07E-01
CEACAM7,-0.04179955,6.07E-01
LIPK,0.05116672,6.07E-01
GTF2A2,-0.06878369,6.07E-01
OXNAD1,0.0551428,6.07E-01
B3GNT2,0.18233567,6.07E-01
LRRC58,-0.04524417,6.07E-01
KRTAP23-1,-0.04803703,6.07E-01
PLEKHH1,-0.03450814,6.07E-01
KIRREL2,0.03574305,6.07E-01
INPP5B,0.04450209,6.07E-01
LOC441242,-0.07118369,6.07E-01
PIGP,0.09637951,6.07E-01
DTX4,-0.17510697,6.07E-01
WIZ,-0.05357349,6.07E-01
KRTAP24-1,0.03366225,6.07E-01
INF2,0.15052124,6.07E-01
EFCAB6,0.0553022,6.07E-01
HNF1B,-0.0413917,6.07E-01
HFE,0.0519412,6.07E-01
MOGAT3,0.03402824,6.07E-01
HDAC8,-0.05696804,6.07E-01
SFRS3,0.07407268,6.08E-01
RPIA,-0.03962074,6.08E-01
EXTL2,0.08286397,6.08E-01
HOMER2,-0.04270261,6.08E-01
RNF13,-0.06974636,6.08E-01
IGHA1,0.19074696,6.08E-01
C6orf222,-0.04748526,6.08E-01
EIF4G1,-0.05793975,6.08E-01
GJA1,0.04461931,6.08E-01
Septin 4,-0.04393511,6.08E-01
CDH23,0.09261435,6.08E-01
GP1BB,0.08437513,6.08E-01
FASTK,-0.07121524,6.08E-01
MED23,0.04838405,6.08E-01
ABHD11,0.0607175,6.08E-01
ZNF484,0.0473898,6.08E-01
NCOA1,-0.07350969,6.08E-01
PCDHGA7,-0.051725,6.08E-01
AFM,-0.03540292,6.08E-01
F9,0.04411571,6.08E-01
NKG7,-0.14504364,6.08E-01
XIAP,0.03822268,6.08E-01
DAZL,-0.04193339,6.08E-01
EXD1,0.04886263,6.08E-01
TGDS,0.04279377,6.09E-01
PDGFRA,0.04841674,6.09E-01
ZNF24,-0.05716838,6.09E-01
HAAO,0.03727791,6.09E-01
GUCY2F,0.04443468,6.09E-01
LMO3,-0.03259022,6.09E-01
CTBS,-0.06560834,6.09E-01
IL22RA1,0.03574825,6.09E-01
FAM66B /// FAM66E,0.04356808,6.09E-01
PLAGL1,-0.06894712,6.09E-01
RAB36,-0.04615394,6.09E-01
SETD8,-0.05588563,6.09E-01
SLAMF7,-0.16687348,6.09E-01
VRK3,-0.08493825,6.09E-01
RNF44,0.04081413,6.09E-01
CYP4F8,-0.03151411,6.09E-01
CASP1,-0.03507364,6.09E-01
TMEM8B,-0.08029597,6.09E-01
GABARAPL1,0.12560082,6.09E-01
ANAPC2,0.07663104,6.09E-01
SPO11,0.04345529,6.09E-01
MAP3K11,-0.10073234,6.09E-01
INTS3,-0.10265236,6.09E-01
UGT3A1,0.06152485,6.09E-01
---,0.04711009,6.09E-01
RGNEF,-0.1267307,6.09E-01
SUPT6H,-0.07439753,6.09E-01
TGFBI,-0.20958102,6.09E-01
WHSC1,-0.05100997,6.09E-01
RPL30,-0.03500325,6.09E-01
BCL11A,-0.03149257,6.09E-01
RAD21L1,0.03361688,6.10E-01
ADPRH,-0.043888,6.10E-01
FANCC,0.09774309,6.10E-01
NEB,-0.05694265,6.10E-01
PTGER2,-0.07634635,6.10E-01
CBLN3,0.08952104,6.10E-01
COX15,-0.08391807,6.10E-01
DSCR8,0.0345771,6.10E-01
---,-0.03486584,6.10E-01
---,0.04565608,6.10E-01
BTBD3,-0.16680746,6.10E-01
ABCC1,-0.12238851,6.10E-01
C7orf33,0.06032235,6.10E-01
LHX1,0.08851191,6.10E-01
PPTC7,0.04930891,6.10E-01
KIF1A,0.12237175,6.10E-01
TRIM29,0.03881899,6.10E-01
TMEM214,0.07180428,6.10E-01
LOC440173,-0.03912811,6.10E-01
STXBP3,-0.04586035,6.11E-01
SLC37A4,0.13445044,6.11E-01
MST1R,-0.04732877,6.11E-01
MYEF2,0.0398907,6.11E-01
LRRC29,0.04400522,6.11E-01
H2AFY,0.10877559,6.11E-01
GLS2,0.03629884,6.11E-01
XPA,0.05548893,6.11E-01
EPHA7,-0.04121944,6.11E-01
SLC35D3,-0.03141611,6.11E-01
A2BP1,0.03581111,6.11E-01
GOLGA6L4 /// PML,-0.13191043,6.11E-01
ERICH1 /// FLJ00290,-0.06869012,6.11E-01
WIT1,0.05024217,6.11E-01
APLF,0.04053155,6.11E-01
ZBTB7C,-0.04315908,6.11E-01
SEC24C,-0.04739467,6.11E-01
GABRB2,0.04139756,6.11E-01
HDGF,0.06436356,6.11E-01
C12orf49,0.10980844,6.11E-01
C19orf47,0.05330213,6.11E-01
KSR1,0.07617078,6.11E-01
EIF5A /// EIF5AL1,0.0989887,6.11E-01
ZC3H15,0.06353708,6.11E-01
CCDC132,-0.0586148,6.11E-01
IGF2BP1,-0.10923756,6.11E-01
ATP5J2,0.03651329,6.11E-01
EPHB2,-0.03468349,6.12E-01
SIRT5,0.05451691,6.12E-01
DCD,0.03953641,6.12E-01
CENPJ,-0.0427061,6.12E-01
ZNF749,-0.04338712,6.12E-01
ILF2,-0.05126095,6.12E-01
CYP2U1,-0.18442414,6.12E-01
DSC2,0.06664874,6.12E-01
PRDX5,0.04100906,6.12E-01
DVL3,0.0621954,6.12E-01
POLE3,0.08609512,6.12E-01
CMKLR1,0.19344743,6.12E-01
SLC25A4,-0.15915726,6.12E-01
ARNT,-0.06453629,6.12E-01
ZNF678,-0.03783279,6.12E-01
SLC35E4,0.09362793,6.12E-01
HOXA7,0.04324351,6.12E-01
MAS1L,0.04603521,6.12E-01
AKT2,-0.03454381,6.12E-01
LOC440337,-0.04793303,6.12E-01
SLC18A2,0.05626426,6.12E-01
CYP2B6,0.05447315,6.12E-01
RAF1,0.05173108,6.12E-01
SNRPD1,-0.08938618,6.12E-01
JAKMIP3,-0.04917367,6.13E-01
C22orf28,-0.0600051,6.13E-01
TXNDC6,-0.03954893,6.13E-01
EML5,0.02952994,6.13E-01
DAB1,-0.16155903,6.13E-01
TMPRSS9,0.05181005,6.13E-01
TPP1,-0.10080005,6.13E-01
SLC17A4,0.05388315,6.13E-01
PSMC4,-0.0623604,6.13E-01
PSEN2,-0.04347325,6.13E-01
SHROOM3,0.03882823,6.13E-01
UCP2,0.12039549,6.13E-01
DENND4A,-0.04205388,6.13E-01
FXR2,0.09343255,6.13E-01
OVOL2,-0.03561736,6.13E-01
PLG,0.03054273,6.13E-01
TOM1,-0.05811101,6.13E-01
SLC38A11,-0.15028649,6.13E-01
C22orf24,0.03326825,6.13E-01
SLC26A1,-0.04434328,6.13E-01
